country_code,year,gdp_per_capita,inflation,unemployment,gdp_growth,fiscal_balance,current_account
DNK,1998,33346.4884298957,1.84565122007883,5.039,2.32630274538961,-0.110021961100603,-1.13530538852639
DNK,1999,33426.2381077405,2.49779544404529,5.141,2.96730536257029,0.871085532995674,1.71298625187982
DNK,2000,30722.0251837567,2.90328203236461,4.476,3.72400899471576,1.84406645963936,1.37879989622757
DNK,2001,30768.4775471112,2.33787000255262,4.164,0.95003224600012,1.273504251294,2.94033572239732
DNK,2002,33257.1622586509,2.42443661219694,4.274,0.456530018779986,0.522784862308124,1.93547973055908
DNK,2003,40519.0974905924,2.07507820646506,5.398,0.441091006625101,0.690530703535921,3.18790770063056
DNK,2004,46625.050098011,1.15435693124934,5.204,2.77635180744053,2.11343605099309,2.35760495195269
DNK,2005,48925.8076698784,1.81781458291254,4.83,2.35960882992528,5.65167043969722,4.15137874873849
DNK,2006,52119.1787984282,1.92422138464584,3.897,3.81648769908172,5.49025408515426,3.33878587946735
DNK,2007,58631.6566433635,1.69326586220324,3.801,0.987173815945127,5.54853641996053,1.51196754347491
DNK,2008,64616.6657583663,3.41626794258374,3.683,-0.417178439991005,3.83561918698261,2.93344197648404
DNK,2009,58412.7472358513,1.30470991024335,6.409,-4.97447905669058,-2.11144188536374,3.670308987932
